PERIOD  Code,PERIOD  Detail,SHOPNAME,PRODUCT,BRAND,MODEL,SALES,PRICE,CHANNELNAME,SHOPSIZE1,REGION,CITY,RAM,ROM,cluster_label,segment
2403M,Maret 2024,17 PHONE,PHABLETS,APPLE,IPHONE 13 128/4GB SIM/ESIM NFC 5G,1.0,10000000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,2,Mid-Range
2403M,Maret 2024,17 PHONE,PHABLETS,APPLE,IPHONE 15 PRO 256/8GB SIM/ESIM NFC 5G,1.0,21999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,1,Flagship
2403M,Maret 2024,17 PHONE,PHABLETS,INFINIX,HOT 30 128/8GB X6831 DUAL NFC LTE,3.0,1699000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,INFINIX,HOT 30I 128/8GB X669D DUAL NFC LTE,3.0,1700000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,INFINIX,NOTE 30 256/8GB X6833B DUAL NFC LTE,3.0,2450000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,OPPO,A18 128/4GB CPH2591 DUAL LTE,1.0,1599000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,POCO,M5 64/4GB DUAL NFC LTE,1.0,1500000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,POCO,X6 256/12GB DUAL NFC 5G,1.0,3500000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",12.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,POCO,X6 PRO 512/12GB DUAL NFC 5G,5.0,5450000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",12.0,512.0,2,Mid-Range
2403M,Maret 2024,17 PHONE,PHABLETS,REALME,C51 128/4GB DUAL LTE,3.0,1499000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REALME,C53 128/6GB DUAL NFC LTE,3.0,2099000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,12 128/8GB DUAL LTE,1.0,1999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,12 256/8GB DUAL LTE,3.0,2199000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,13C 128/6GB DUAL NFC LTE,3.0,1500000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,13C 256/8GB DUAL NFC LTE,4.0,1900000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,A3 128/4GB DUAL LTE,1.0,1500000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,NOTE 12 128/6GB DUAL NFC LTE,3.0,2750000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,NOTE 12 128/8GB DUAL NFC LTE,1.0,2950000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,NOTE 12 PRO 128/6GB DUAL NFC LTE,2.0,3400000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,NOTE 12 PRO 256/8GB DUAL NFC 5G,2.0,4250000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A05 64/4GB SMA055F DUAL LTE,9.0,1499000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A05S 128/6GB SMA057F DUAL LTE,5.0,2299000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A14 128/6GB SMA145F DUAL NFC LTE,1.0,2499000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A15 128/8GB SMA155F DUAL NFC LTE,4.0,2899000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A15 256/8GB SMA156E DUAL NFC 5G,4.0,3299000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A24 128/8GB SMA245F DUAL NFC LTE,1.0,3499000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A25 128/8GB SMA256E DUAL NFC 5G,6.0,3999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A25 256/8GB SMA256E DUAL NFC 5G,1.0,4399000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,2,Mid-Range
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A54 128/8GB SMA546E DUAL NFC 5G,1.0,5999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,2,Mid-Range
2403M,Maret 2024,17 PHONE,PHABLETS,VIVO,V29E 256/8GB DUAL NFC 5G,1.0,4399000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,2,Mid-Range
2403M,Maret 2024,17 PHONE,PHABLETS,VIVO,Y17S 128/6GB DUAL LTE,1.0,1999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,VIVO,Y27 128/6GB DUAL LTE,1.0,1999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,AA CELL,PHABLETS,INFINIX,HOT 30I 128/8GB X669D DUAL NFC LTE,3.0,1650000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,AA CELL,PHABLETS,OPPO,A58 128/6GB CPH2577 DUAL NFC LTE,4.0,2399000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,AA CELL,PHABLETS,REALME,C35 128/4GB RMX3511 DUAL LTE,1.0,2250000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,AA CELL,PHABLETS,REDMI,12C 128/4GB DUAL LTE,2.0,1600000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,AA CELL,PHABLETS,SAMSUNG,GALAXY A04 64/4GB SMA045F DUAL LTE,1.0,1500000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,AA CELL,PHABLETS,SAMSUNG,GALAXY A14 128/4GB SMA145F DUAL NFC LTE,1.0,2199000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,AA CELL,PHABLETS,VIVO,Y33T 128/8GB DUAL LTE,1.0,2599000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,OPPO,A18 128/4GB CPH2591 DUAL LTE,1.0,1799000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,OPPO,A38 128/4GB CPH2579 DUAL LTE,1.0,1999000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,OPPO,A58 128/6GB CPH2577 DUAL NFC LTE,1.0,2399000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,OPPO,A58 128/8GB CPH2577 DUAL NFC LTE,2.0,2799000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,OPPO,A78 256/8GB CPH2565 DUAL NFC LTE,1.0,3399000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,OPPO,A98 256/8GB CPH2529 DUAL NFC 5G,1.0,4299000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,OPPO,RENO11 256/8GB CPH2599 DUAL NFC 5G,1.0,5999000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,2,Mid-Range
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,REDMI,12 128/8GB DUAL LTE,1.0,1999000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,REDMI,A2 64/3GB DUAL LTE,2.0,999000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",3.0,64.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,REDMI,A3 128/4GB DUAL LTE,1.0,1199000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,REDMI,NOTE 12 128/8GB DUAL NFC LTE,1.0,2499000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,SAMSUNG,GALAXY A05 64/4GB SMA055F DUAL LTE,1.0,1399000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,SAMSUNG,GALAXY A05S 128/6GB SMA057F DUAL LTE,1.0,2199000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,SAMSUNG,GALAXY A15 128/8GB SMA155F DUAL NFC LTE,1.0,2899000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,VIVO,Y17S 128/4GB DUAL LTE,1.0,1599000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,VIVO,Y17S 128/6GB DUAL LTE,1.0,1799000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,VIVO,Y27 128/6GB DUAL LTE,1.0,1999000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,VIVO,Y27S 128/8GB DUAL NFC LTE,1.0,2399000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,ANEKA JAYA SELL,PHABLETS,VIVO,Y36 256/8GB DUAL NFC LTE,1.0,2999000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,INFINIX,HOT 40 PRO 256/8GB X6837 DUAL NFC LTE,2.0,2190000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,INFINIX,HOT 40I 128/8GB X6528B DUAL NFC LTE,1.0,1399000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,INFINIX,SMART 8 PRO 128/4GB X6525B DUAL LTE,1.0,1399000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,ITEL,A70 128/4GB A665L DUAL LTE,2.0,1200000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,ITEL,A70 256/4GB A665L DUAL LTE,1.0,1300000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,256.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,OPPO,A18 128/4GB CPH2591 DUAL LTE,15.0,1599000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,OPPO,A38 128/4GB CPH2579 DUAL LTE,7.0,1999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,OPPO,A58 128/6GB CPH2577 DUAL NFC LTE,3.0,2399000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,OPPO,A58 128/8GB CPH2577 DUAL NFC LTE,1.0,2699000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,OPPO,A78 256/8GB CPH2565 DUAL NFC LTE,4.0,3399000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,OPPO,RENO11 256/8GB CPH2599 DUAL NFC 5G,3.0,5999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,2,Mid-Range
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,OPPO,RENO11 F 256/8GB CPH2603 DUAL NFC 5G,11.0,4599000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,2,Mid-Range
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,REDMI,13C 128/6GB DUAL NFC LTE,3.0,1499000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,REDMI,NOTE 13 256/8GB DUAL NFC 5G,2.0,3199000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,REDMI,NOTE 13 256/8GB DUAL NFC LTE,2.0,2799000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,SAMSUNG,GALAXY A05 128/6GB SMA055F DUAL LTE,2.0,1899000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,SAMSUNG,GALAXY A05S 128/6GB SMA057F DUAL LTE,1.0,2199000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,SAMSUNG,GALAXY A15 256/8GB SMA156E DUAL NFC 5G,2.0,3599000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,CAHAYA SELULAR,PHABLETS,SAMSUNG,GALAXY A55 256/8GB SMA556E DUAL/ESIM NFC 5G,2.0,6499000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,2,Mid-Range
2403M,Maret 2024,DARUL CELL,PHABLETS,ITEL,A60S 64/4GB DUAL LTE,2.0,1000000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,DARUL CELL,PHABLETS,OPPO,A17K 64/3GB CPH2471 DUAL LTE,3.0,1500000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",3.0,64.0,0,Entry Level
2403M,Maret 2024,DARUL CELL,PHABLETS,REALME,C51 64/4GB DUAL NFC LTE,1.0,1500000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,DARUL CELL,PHABLETS,SAMSUNG,GALAXY A04E 32/3GB DUAL LTE,1.0,999000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",3.0,32.0,0,Entry Level
2403M,Maret 2024,DARUL CELL,PHABLETS,SAMSUNG,GALAXY A04S 128/4GB SMA047F DUAL LTE,2.0,1899000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,DARUL CELL,PHABLETS,VIVO,Y02 32/3GB DUAL LTE,1.0,1200000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",3.0,32.0,0,Entry Level
2403M,Maret 2024,DEVAN CELL,PHABLETS,INFINIX,HOT 30I 128/8GB X669D DUAL NFC LTE,2.0,1525000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,DEVAN CELL,PHABLETS,INFINIX,HOT 40 PRO 256/8GB X6837 DUAL NFC LTE,2.0,2350000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,DEVAN CELL,PHABLETS,OPPO,A18 128/4GB CPH2591 DUAL LTE,2.0,1625000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,DEVAN CELL,PHABLETS,OPPO,A38 128/4GB CPH2579 DUAL LTE,2.0,1999000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,DEVAN CELL,PHABLETS,REALME,C55 128/6GB DUAL LTE,1.0,2500000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,DEVAN CELL,PHABLETS,REDMI,12 128/8GB DUAL LTE,2.0,2100000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,DEVAN CELL,PHABLETS,REDMI,13C 256/8GB DUAL NFC LTE,1.0,1950000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,DEVAN CELL,PHABLETS,REDMI,A2 32/3GB DUAL 4G,2.0,1050000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",3.0,32.0,0,Entry Level
2403M,Maret 2024,DEVAN CELL,PHABLETS,SAMSUNG,GALAXY A05 128/4GB SMA055F DUAL LTE,2.0,1725000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,DEWATA CELL,PHABLETS,INFINIX,SMART 8 128/4GB X6525 DUAL LTE,3.0,1250000.0,Mobile Phone Specialists,MEDIUM,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,DEWATA CELL,PHABLETS,OPPO,A58 128/6GB CPH2577 DUAL NFC LTE,1.0,2400000.0,Mobile Phone Specialists,MEDIUM,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,DEWATA CELL,PHABLETS,REDMI,13C 128/6GB DUAL NFC LTE,5.0,1499000.0,Mobile Phone Specialists,MEDIUM,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,DEWATA CELL,PHABLETS,REDMI,A2 32/3GB DUAL 4G,1.0,1000000.0,Mobile Phone Specialists,MEDIUM,CENTRAL JAVA,"SEMARANG, KOTA",3.0,32.0,0,Entry Level
2403M,Maret 2024,DEWATA CELL,PHABLETS,SAMSUNG,GALAXY A05 128/6GB SMA055F DUAL LTE,2.0,1899000.0,Mobile Phone Specialists,MEDIUM,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,DEWATA CELL,PHABLETS,SAMSUNG,GALAXY A05 64/4GB SMA055F DUAL LTE,2.0,1399000.0,Mobile Phone Specialists,MEDIUM,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,DEWATA CELL,PHABLETS,TECNO,SPARK 20C 128/4GB DUAL NFC LTE,1.0,1100000.0,Mobile Phone Specialists,MEDIUM,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,DEWATA CELL,PHABLETS,VIVO,Y02T 64/4GB DUAL LTE,2.0,1300000.0,Mobile Phone Specialists,MEDIUM,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,DEWATA CELL,PHABLETS,VIVO,Y17S 64/4GB DUAL LTE,1.0,1500000.0,Mobile Phone Specialists,MEDIUM,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,DEWATA CELL,PHABLETS,VIVO,Y27 128/6GB DUAL LTE,1.0,1999000.0,Mobile Phone Specialists,MEDIUM,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,ELITE SELL,PHABLETS,APPLE,IPHONE 11 64/4GB SIM/ESIM NFC LTE,3.0,6900000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,2,Mid-Range
2403M,Maret 2024,ELITE SELL,PHABLETS,APPLE,IPHONE 13 256/4GB SIM/ESIM NFC 5G,2.0,12250000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,256.0,2,Mid-Range
2403M,Maret 2024,ELITE SELL,PHABLETS,INFINIX,HOT 40I 256/8GB X6528B DUAL NFC LTE,2.0,1800000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,ELITE SELL,PHABLETS,INFINIX,NOTE 30 256/8GB X6833B DUAL NFC LTE,3.0,2200000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,ELITE SELL,PHABLETS,INFINIX,SMART 8 128/4GB X6525 DUAL LTE,2.0,1300000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,ELITE SELL,PHABLETS,OPPO,A18 128/4GB CPH2591 DUAL LTE,5.0,1500000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,ELITE SELL,PHABLETS,OPPO,A58 128/8GB CPH2577 DUAL NFC LTE,2.0,2700000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,ELITE SELL,PHABLETS,OPPO,RENO11 F 256/8GB CPH2603 DUAL NFC 5G,1.0,4599000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,2,Mid-Range
2403M,Maret 2024,ELITE SELL,PHABLETS,REALME,C51 64/4GB DUAL NFC LTE,3.0,1400000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,ELITE SELL,PHABLETS,REALME,C67 128/8GB DUAL NFC LTE,2.0,2600000.0,Mobile Phone Specialists,SMALL,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
